GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ui/core,core,SavingsAccount,1,96,1,9,0,24,1,15,0,11
ui/core,core,CheckingAccount,0,17,0,0,0,6,0,2,0,2
ui/core,core,Transaction,166,0,18,0,45,0,18,0,9,0
ui/core,core,BsuAccount,2,92,0,8,2,27,2,11,2,7
ui/core,core,Transaction.TransactionType,0,21,0,0,0,2,0,1,0,1
ui/core,core,User,35,115,2,10,7,32,2,15,1,10
ui/core,core,BankHelper,9,142,1,29,2,34,2,26,1,12
ui/core,core,AbstractAccount,14,249,5,19,4,71,5,24,0,17
ui/core,json,UserDeserializer,87,0,12,0,25,0,8,0,2,0
ui/core,json,UserSerializer,0,38,0,2,0,11,0,3,0,2
ui/core,json,AccountSerializer,0,66,0,8,0,19,0,6,0,2
ui/core,json,TransactionDeserializer,90,0,12,0,27,0,9,0,3,0
ui/core,json,CashFlowModule,0,47,0,0,0,8,0,1,0,1
ui/core,json,TransactionSerializer,0,33,0,0,0,9,0,2,0,2
ui/core,json,AccountDeserializer,145,0,18,0,39,0,13,0,3,0
ui/core,json,CashFlowPersistence,16,143,2,2,3,33,2,12,1,11
